163,223,2019,2594,2643,2557,2469,2430,2408
46,208,2028,2588,2639,2549,2460,2428,2404
204,209,2003,2598,2652,2582,2501,2435,2425
109,220,2030,2589,2634,2551,2459,2436,2428
113,208,2061,2617,2641,2539,2480,2432,2419
112,218,2043,2611,2637,2559,2468,2454,2401
142,228,2007,2563,2617,2566,2490,2433,2401
67,207,2013,2585,2632,2536,2479,2439,2383
201,225,2047,2603,2627,2557,2487,2439,2397
170,212,2022,2580,2620,2558,2491,2430,2398
59,207,2056,2574,2637,2541,2482,2432,2407
152,223,2036,2620,2647,2556,2493,2418,2405
148,229,2027,2602,2641,2541,2482,2433,2415
222,223,2036,2622,2601,2543,2463,2390,2392
109,212,2029,2630,2641,2561,2457,2425,2409
110,228,2035,2588,2622,2555,2487,2424,2391
68,209,2010,2599,2640,2532,2463,2412,2391
178,212,2026,2581,2632,2567,2489,2452,2416
107,210,2030,2619,2614,2562,2490,2441,2406
64,214,2038,2619,2619,2562,2505,2449,2400
46,223,2052,2583,2606,2557,2476,2413,2375
213,228,2026,2595,2626,2575,2505,2433,2414
150,226,2025,2607,2635,2536,2480,2449,2405
85,220,2046,2588,2599,2568,2480,2440,2368
154,228,2021,2580,2650,2570,2478,2454,2415
89,220,2002,2584,2644,2554,2507,2452,2393
130,229,2054,2571,2642,2557,2483,2413,2388
203,216,1983,2585,2632,2569,2465,2406,2386
110,207,2036,2600,2616,2564,2492,2441,2426
132,223,2033,2579,2610,2540,2478,2429,2396
138,218,2024,2587,2621,2535,2474,2433,2412
209,216,2036,2603,2635,2546,2463,2429,2397
84,212,2025,2605,2613,2522,2484,2416,2379
149,213,2040,2596,2627,2561,2498,2409,2412
109,212,2020,2607,2624,2541,2487,2448,2401
223,209,2051,2587,2620,2555,2485,2426,2398
107,212,2051,2596,2619,2549,2500,2443,2405
177,217,2045,2627,2651,2569,2481,2414,2402
155,223,2036,2606,2634,2579,2488,2432,2414
130,223,2024,2590,2628,2552,2498,2434,2415
195,219,2004,2596,2627,2552,2474,2431,2422
63,221,2020,2600,2601,2532,2485,2429,2393
80,208,2054,2605,2615,2559,2461,2420,2383
44,214,2025,2570,2607,2553,2485,2427,2411
110,224,2029,2596,2677,2570,2497,2452,2401
108,212,2039,2614,2630,2550,2482,2425,2404
43,212,2040,2598,2599,2551,2475,2407,2396
219,220,2040,2606,2655,2571,2485,2461,2406
87,218,2026,2610,2650,2567,2487,2436,2436
109,214,2027,2593,2626,2556,2498,2442,2430
128,220,2026,2590,2643,2555,2497,2463,2406
65,228,2025,2622,2610,2531,2468,2424,2376
83,224,2052,2593,2631,2567,2490,2411,2410
109,216,2039,2610,2634,2570,2472,2432,2403
112,210,2024,2618,2644,2560,2487,2440,2392
159,227,2041,2579,2633,2592,2493,2452,2406
112,211,2034,2589,2627,2536,2483,2424,2382
136,228,2044,2604,2613,2545,2462,2427,2416
177,217,2053,2579,2654,2563,2491,2454,2410
181,211,2033,2613,2646,2572,2478,2416,2401
29,215,2031,2579,2612,2552,2492,2427,2394
118,223,2027,2574,2636,2570,2498,2428,2405
46,210,2042,2589,2636,2547,2486,2429,2417
46,209,2022,2594,2622,2533,2484,2405,2389
96,210,2028,2602,2623,2557,2495,2430,2409
152,221,2034,2604,2626,2556,2482,2442,2409
171,211,2016,2595,2640,2572,2481,2457,2431
128,226,2013,2590,2620,2561,2488,2410,2390
46,219,2036,2592,2611,2550,2482,2444,2389
108,219,2037,2602,2637,2562,2487,2414,2415
69,212,2037,2566,2624,2550,2485,2445,2393
139,212,2028,2569,2646,2549,2459,2434,2385
176,222,2033,2573,2615,2579,2473,2447,2413
114,224,2024,2575,2626,2555,2504,2432,2410
303,219,2029,2584,2621,2522,2483,2437,2413
215,224,2009,2573,2640,2549,2474,2449,2407
22,225,2040,2614,2614,2533,2478,2409,2378
112,223,2020,2591,2616,2565,2496,2427,2402
156,225,2024,2598,2643,2540,2496,2444,2422
128,217,2032,2581,2640,2554,2490,2417,2410
107,213,2030,2604,2643,2557,2483,2415,2398
89,228,2054,2600,2648,2571,2504,2441,2401
204,229,2026,2600,2637,2550,2482,2423,2386
88,208,2003,2600,2618,2542,2472,2441,2424
86,218,2040,2597,2624,2527,2480,2439,2416
179,221,2025,2577,2621,2568,2472,2432,2427
112,211,2026,2599,2639,2570,2477,2445,2408
200,210,2012,2587,2640,2556,2488,2442,2413
105,210,2027,2611,2644,2579,2465,2436,2404
204,214,2028,2581,2637,2557,2482,2456,2393
135,222,2026,2601,2638,2567,2441,2424,2397
174,226,2001,2581,2632,2541,2464,2421,2408
220,217,2023,2598,2632,2532,2477,2454,2421
193,207,2051,2609,2625,2553,2483,2451,2422
174,209,2017,2586,2635,2558,2506,2449,2410
178,214,2025,2609,2635,2561,2479,2440,2405
157,210,2025,2585,2604,2559,2488,2439,2401
241,209,2006,2585,2623,2546,2484,2429,2399
132,210,2037,2600,2620,2533,2472,2445,2397
69,210,2031,2601,2618,2562,2490,2421,2406
