Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,3,1.25,1.40138782,5468.75,9826.66016,25122.0703,100000,92192.1097,92192.1097,100000,100000,90173.3398,90173.3398,90173.3398,92192.1097,97161.8652,100000,89059.7701,89059.7701,90484.6381,92192.1097,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86695.7897,100000
1,1,0.5,0.5,2492.7432,2492.7432,2492.7432,100000,92192.1097,92192.1097,100000,100000,90173.3398,90173.3398,90173.3398,92192.1097,97161.8652,100000,89059.7701,89059.7701,90484.6381,89699.3665,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86695.7897,100000
1,4,1.41421356,1.85355339,4789.76592,12597.6562,39744.5999,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,100000,89059.7701,89059.7701,90484.6381,89699.3665,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86695.7897,100000
1,1,0.25,0.25,624.395947,624.395947,624.395947,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,100000,89059.7701,89059.7701,90484.6381,89699.3665,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86071.3938,100000
1,2,0.707106781,0.809016994,2641.78761,4066.65557,6708.44319,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,100000,89059.7701,86417.9825,86417.9825,89699.3665,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86071.3938,100000
1,1,0.5,0.5,2491.04076,2491.04076,2491.04076,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,100000,89059.7701,86417.9825,86417.9825,87208.3257,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86071.3938,100000
1,1,1.11803399,1.11803399,12438.9648,12438.9648,12438.9648,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,87561.0352,89059.7701,86417.9825,86417.9825,87208.3257,94708.252,88728.4055,87240.981,87240.981,85994.1477,86695.7897,86695.7897,86695.7897,86071.3938,100000
1,3,0.901387819,0.957106781,2600.4976,4419.28669,9620.2819,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,87561.0352,84640.4834,86417.9825,86417.9825,87208.3257,94708.252,88728.4055,84640.4834,84640.4834,85994.1477,86695.7897,86695.7897,86695.7897,86071.3938,100000
1,4,1.11803399,1.30901699,2058.9748,10695.833,18986.7947,87402.3438,92192.1097,87402.3438,87402.3438,100000,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,84012.419,84640.4834,86417.9825,86417.9825,87208.3257,84012.419,88728.4055,84640.4834,84640.4834,85994.1477,86695.7897,86695.7897,84012.419,84012.419,100000
1,2,1.03077641,1.25,1968.4732,14566.1294,16534.6026,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,84012.419,84640.4834,86417.9825,86417.9825,87208.3257,84012.419,88728.4055,84640.4834,84640.4834,85994.1477,86695.7897,86695.7897,84012.419,84012.419,100000
1,4,0.901387819,1.10355339,1973.42924,3750.92831,12802.3794,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,90173.3398,90173.3398,90173.3398,92192.1097,87402.3438,84012.419,82667.0542,82667.0542,82667.0542,87208.3257,84012.419,88728.4055,84640.4834,84640.4834,82667.0542,86695.7897,86695.7897,84012.419,84012.419,100000
1,4,1.25,1.54056942,6637.51513,8656.28496,28568.8303,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,83535.8247,83535.8247,83535.8247,83535.8247,87402.3438,84012.419,82667.0542,82667.0542,82667.0542,87208.3257,84012.419,88728.4055,84640.4834,84640.4834,82667.0542,86695.7897,86695.7897,84012.419,84012.419,100000
1,3,0.75,0.75,1465.15826,4148.529,7078.84551,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,83535.8247,83535.8247,83535.8247,83535.8247,87402.3438,84012.419,82667.0542,82667.0542,82667.0542,87208.3257,84012.419,88728.4055,84640.4834,84640.4834,82667.0542,86695.7897,82547.2607,82547.2607,82547.2607,100000
1,2,0.75,0.75,3076.1014,3270.11943,6346.22083,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,83535.8247,83535.8247,83535.8247,83535.8247,84132.2243,84012.419,82667.0542,82667.0542,82667.0542,84132.2243,84012.419,88728.4055,84640.4834,84640.4834,82667.0542,86695.7897,82547.2607,82547.2607,82547.2607,100000
1,2,0.559016994,0.603553391,1870.10834,1870.10834,3740.21667,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,83535.8247,83535.8247,83535.8247,83535.8247,84132.2243,84012.419,82667.0542,82667.0542,82667.0542,84132.2243,84012.419,88728.4055,82770.3751,82770.3751,82667.0542,86695.7897,82547.2607,82547.2607,82547.2607,100000
1,4,1.25,1.41257038,2911.88193,9093.02667,20282.3947,87402.3438,92192.1097,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,82667.0542,84132.2243,84012.419,79635.3788,82770.3751,82770.3751,82667.0542,86695.7897,82547.2607,82547.2607,79635.3788,100000
