Success,Sent messages,Starting distance,One used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,9,1.11803399,47.0638275,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99752.2354,99701.5953,99538.4693,99901.7239,99865.675,99861.5265,99720.9072,99540.5912,99903.2974,99791.4791,99842.6914,99864.912,99867.034,99852.0851,99881.3152,99819.7317,99868.6075,100000
1,7,0.901387819,36.0488892,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99901.7239,99865.675,99825.4776,99684.8583,99540.5912,99903.2974,99791.4791,99842.6914,99828.8631,99867.034,99852.0851,99881.3152,99819.7317,99868.6075,100000
1,4,0.75,60.0814819,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99901.7239,99865.675,99825.4776,99684.8583,99540.5912,99903.2974,99791.4791,99842.6914,99828.8631,99867.034,99852.0851,99821.2337,99759.6502,99808.526,100000
1,4,0.353553391,20.0390816,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99901.7239,99865.675,99825.4776,99684.8583,99540.5912,99903.2974,99791.4791,99842.6914,99808.8241,99846.9949,99852.0851,99821.2337,99759.6502,99788.487,100000
1,7,1.11803399,47.0638275,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99854.66,99818.6111,99778.4138,99637.7945,99540.5912,99856.2336,99744.4153,99842.6914,99808.8241,99846.9949,99852.0851,99821.2337,99759.6502,99788.487,100000
1,5,1,79.202652,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99854.66,99818.6111,99778.4138,99637.7945,99540.5912,99856.2336,99744.4153,99842.6914,99808.8241,99846.9949,99772.8825,99742.0311,99680.4476,99709.2843,100000
1,4,0.75,60.0814819,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99854.66,99818.6111,99778.4138,99637.7945,99540.5912,99856.2336,99744.4153,99842.6914,99808.8241,99846.9949,99772.8825,99681.9496,99620.3661,99649.2028,100000
1,2,0.25,59.3662262,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99854.66,99818.6111,99778.4138,99637.7945,99540.5912,99856.2336,99744.4153,99842.6914,99808.8241,99787.6287,99772.8825,99681.9496,99620.3661,99649.2028,100000
1,5,0.707106781,28.0857086,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99716.1865,99665.5464,99502.4204,99854.66,99818.6111,99750.3281,99637.7945,99512.5055,99856.2336,99744.4153,99814.6057,99808.8241,99787.6287,99772.8825,99681.9496,99592.2804,99649.2028,100000
1,6,0.901387819,36.0488892,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99601.7456,99512.5055,99856.2336,99744.4153,99814.6057,99772.7752,99787.6287,99772.8825,99681.9496,99556.2315,99649.2028,100000
