Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,2,0.3686789599,0.3822662569,24.33816102,219.2278142,243.5659753,48.828125,199609.6253,199353.8769,199609.6528,199853.5492,199353.8769,199293.0263,199293.0263,199378.215,199816.9571,200000
1,1,0.060130074,0.060130074,12.16759502,12.16759502,12.16759502,12.20703125,199609.6253,199341.7093,199609.6528,199853.5492,199353.8769,199293.0263,199293.0263,199378.215,199816.9571,200000
1,1,0.8379049459,0.8379049459,121.8320635,121.8320635,121.8320635,122.0703125,199609.6253,199341.7093,199487.8208,199853.5492,199353.8769,199293.0263,199293.0263,199378.215,199816.9571,200000
1,1,0.060130074,0.060130074,12.16685237,12.16685237,12.16685237,12.20703125,199609.6253,199329.5424,199487.8208,199853.5492,199353.8769,199293.0263,199293.0263,199378.215,199816.9571,200000
1,1,0.8379049459,0.8379049459,121.7577031,121.7577031,121.7577031,122.0703125,199609.6253,199329.5424,199366.0631,199853.5492,199353.8769,199293.0263,199293.0263,199378.215,199816.9571,200000
1,2,0.8719440632,0.8868434135,60.81940499,121.670007,182.489412,146.484375,199609.6253,199329.5424,199366.0631,199853.5492,199232.2069,199293.0263,199232.2069,199378.215,199816.9571,200000
1,2,0.815818586,0.8191942223,24.36640934,268.2902726,292.6566819,122.0703125,199585.2589,199329.5424,199366.0631,199585.2589,199232.2069,199293.0263,199232.2069,199378.215,199816.9571,200000
1,1,0.060130074,0.060130074,12.16610977,12.16610977,12.16610977,12.20703125,199585.2589,199317.3763,199366.0631,199585.2589,199232.2069,199293.0263,199232.2069,199378.215,199816.9571,200000
0,0,0.3686789599,0,12.16016888,12.16016888,12.16016888,48.828125,199585.2589,199317.3763,199366.0631,199585.2589,199220.0467,199293.0263,199232.2069,199378.215,199816.9571,200000
1,2,0.815818586,0.8191942223,60.9085873,60.9085873,121.8171746,122.0703125,199524.3503,199317.3763,199366.0631,199524.3503,199220.0467,199293.0263,199232.2069,199378.215,199816.9571,200000
