Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25,Node energy 26,Node energy 27,Node energy 28,Node energy 29,Node energy 30,Node energy 31,Node energy 32,Node energy 33,Node energy 34,Node energy 35,Node energy 36,Node energy 37,Node energy 38,Node energy 39,Node energy 40,Node energy 41,Node energy 42,Node energy 43,Node energy 44,Node energy 45,Node energy 46,Node energy 47,Node energy 48,Node energy 49,Node energy 50,Node energy 51,Node energy 52,Node energy 53,Node energy 54,Node energy 55,Node energy 56,Node energy 57,Node energy 58,Node energy 59,Node energy 60,Node energy 61,Node energy 62,Node energy 63,Node energy 64,Node energy 65,Node energy 66,Node energy 67,Node energy 68,Node energy 69,Node energy 70,Node energy 71,Node energy 72,Node energy 73,Node energy 74,Node energy 75,Node energy 76,Node energy 77,Node energy 78,Node energy 79,Node energy 80,Node energy 81,Node energy 82,Node energy 83,Node energy 84,Node energy 85,Node energy 86,Node energy 87,Node energy 88,Node energy 89,Node energy 90,Node energy 91,Node energy 92,Node energy 93,Node energy 94,Node energy 95,Node energy 96,Node energy 97,Node energy 98,Node energy 99,Node energy 100
1,2,0.5327557,0.5454321,24.658203,24.658203,49.316406,49.316406,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
1,2,0.33577885,0.3390929,10.375977,10.375977,20.751953,20.751953,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
1,2,0.59852885,0.60304662,31.37207,31.37207,62.744141,62.255859,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.49264417,0.50531155,21.118164,21.118164,42.236328,42.236328,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.56541603,0.56938427,27.099609,27.099609,54.199219,53.466797,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.71509159,0.71533921,42.602539,42.602539,85.205078,85.205078,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,2000,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.94157444,0.9416297,76.538086,76.538086,153.07617,146.24023,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,2000,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,2000,1923.4619,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.2838172,0.28575837,6.9580078,6.9580078,13.916016,13.916016,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1993.042,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,2000,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,2000,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.75006518,0.75157304,46.386719,46.386719,92.773438,92.773438,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1993.042,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.95227081,0.95467079,75.439453,75.439453,150.87891,150.87891,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1993.042,1924.5605,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1978.8818,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.49264417,0.4936777,9.9040717,31.022236,40.926307,42.236328,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1993.042,1924.5605,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,2000,2000,2000
1,2,0.75317011,0.77600519,51.269531,51.269531,102.53906,93.505859,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,2000,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1993.042,1924.5605,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.16601858,0.2366862,1.2164563,8.1744641,9.3909204,7.5683594,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,2000,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,2000,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
